categoria,rank,title,app_id,developer,developer_email,developer_website,genre,score,ratings,reviews,installs,min_installs,real_installs,free,price,currency,contains_ads,offers_iap,iap_price,content_rating,released,updated,version,android_version,summary,url,indie_score,growth_score,opportunity_score,perfil_detectado,estimated_mau,revenue_monthly_usd_low,revenue_monthly_usd_base,revenue_monthly_usd_high,profit_monthly_usd_base,revenue_monthly_brl_base,profit_monthly_brl_base,financial_confidence,review_count_collected,review_score_avg_recent,review_positive_pct,review_negative_pct,external_sources_used
"Busca: ""microjobs""",22,Feedcoyote - Freelance Jobs,com.feedcoyote.app,Feedcoyote,info@feedcoyote.com,https://feedcoyote.com/,Social,4.5789475,1168,1,100.000+,100000,241076,1,0,BRL,0,1,"R$ 5,49 – R$ 104,99 por item",Classificação Livre,22 de dez. de 2022,1784808221,4.16.4,,"Find freelance jobs, gigs & collaborators. Turn connections into income.",https://play.google.com/store/apps/details?id=com.feedcoyote.app&hl=pt&gl=br,100,53,92,pequeno/indie,,,,,,,,,,,,,
"Busca: ""microjobs""",27,MeisterTask - Task Management,com.meisterlabs.meistertask.native,MeisterLabs,support@meistertask.com,https://www.meistertask.com,Produtividade,4.6390977,11043,588,1.000.000+,1000000,1103862,1,0,BRL,0,1,"R$ 39,99 – R$ 1.079,90 por item",Classificação Livre,19 de dez. de 2016,1783508173,4.30.0,,Boost teamwork with MeisterTask: Simple task management. Sync web & mobile.,https://play.google.com/store/apps/details?id=com.meisterlabs.meistertask.native&hl=pt&gl=br,84,62,90,pequeno/indie,,,,,,,,,,,,,
"Busca: ""microjobs""",6,Earnne: Tarefas Remuneradas,com.earnne,Earnne,support@earnne.com,https://earnne.com/,Finanças,4.3873873,28170,390,500.000+,500000,760574,1,0,BRL,1,1,"R$ 57,99 – R$ 519,99 por item",Classificação Livre,20 de fev. de 2025,1783162331,90.3,,Complete tarefas remuneradas fáceis para ganhar dinheiro online todos os dias.,https://play.google.com/store/apps/details?id=com.earnne&hl=pt&gl=br,84,57,81,pequeno/indie,,,,,,,,,,,,,
"Busca: ""microjobs""",4,Joinrs - Emprego & Carreira,me.tutored.tutored,Tutored srl,info@joinrs.com,https://www.joinrs.com/,Negócios,4.7722774,1554,47,100.000+,100000,252922,1,0,BRL,0,0,,Classificação Livre,6 de dez. de 2023,1776424874,8.1.1,,Junte-se a milhares de jovens talentos e encontre o emprego ideal graças à IA,https://play.google.com/store/apps/details?id=me.tutored.tutored&hl=pt&gl=br,100,51,73,pequeno/indie,,,,,,,,,,,,,
"Busca: ""microjobs""",9,Closeer | Trabalho freelancer,com.closeer.closeer_worker,Closeer,ajuda@closeer.work,https://closeer.work,Negócios,4.551155,6067,2353,500.000+,500000,978290,1,0,BRL,0,0,,Classificação Livre,20 de nov. de 2018,1783971094,3.30.1,,"Trabalhe em cozinhas, restaurantes, hotéis, eventos, farmácias, varejo, etc.",https://play.google.com/store/apps/details?id=com.closeer.closeer_worker&hl=pt&gl=br,84,55,70,pequeno/indie,,,,,,,,,,,,,
"Busca: ""microjobs""",11,Remote Work: trabalhe de casa!,com.remotework,Fearn Apps,support@findremoteworks.com,https://findremoteworks.com,Produtividade,3.5277777,190,22,100.000+,100000,103561,1,0,BRL,0,1,"R$ 12,99 por item",Classificação Livre,23 de set. de 2018,1783375607,7.3.0,,Encontre uma vaga. Monte seu currículo. Conquiste a proposta. Tudo em um app.,https://play.google.com/store/apps/details?id=com.remotework&hl=pt&gl=br,100,28,68,pequeno/indie,,,,,,,,,,,,,
"Busca: ""microjobs""",35,JobLynk: Busca de Emprego,com.global.job.search.career.opportunities.hiring,Ninelogix Studio,ninelogixstudio@gmail.com,https://v4dcc9a0c.app-ads-txt.com,Negócios,,,,10.000+,10000,34483,1,0,BRL,1,1,"R$ 9,99 – R$ 79,99 por item",Classificação Livre,21 de jun. de 2026,,Varies with device,,Encontre vagas de emprego perto de você com o JobLynk e seja contratado.,https://play.google.com/store/apps/details?id=com.global.job.search.career.opportunities.hiring&hl=pt&gl=br,100,24,67,pequeno/indie,,,,,,,,,,,,,
"Busca: ""microjobs""",48,PartTime Now,com.numcraft.aitrainer,Tera Link,american5university@gmail.com,http://page.ai-trainer.work/index.html,Ferramentas,,,,500.000+,500000,720633,1,0,BRL,1,0,,Classificação Livre,,,Varies with device,,PartTime Now: ganhe recompensas com tarefas rápidas on-line.,https://play.google.com/store/apps/details?id=com.numcraft.aitrainer&hl=pt&gl=br,100,0,61,pequeno/indie,,,,,,,,,,,,,
"Busca: ""microjobs""",47,RemoteWork - Daily Remote Jobs,com.fortuly.remotework,Fortuly Apps,fortuly.apps@gmail.com,https://Remote-Work.app,Produtividade,,,,50.000+,50000,61757,1,0,BRL,1,0,,Classificação Livre,29 de jan. de 2024,,Varies with device,,Remote-Work.app ajuda você a encontrar seu próximo trabalho remoto.,https://play.google.com/store/apps/details?id=com.fortuly.remotework&hl=pt&gl=br,100,0,61,pequeno/indie,,,,,,,,,,,,,
"Busca: ""microjobs""",46,JOBPLOY – Jobs in Korea,kr.jobploy,JOBPLOY,support@jobploy.kr,https://jobploy.kr,Estilo de vida,,,,10.000+,10000,27493,1,0,BRL,1,0,,Classificação 12 anos,13 de ago. de 2025,,Varies with device,,Ajudando estrangeiros a encontrar empregos e se estabelecer na Coreia com facilidade.,https://play.google.com/store/apps/details?id=kr.jobploy&hl=pt&gl=br,100,0,61,pequeno/indie,,,,,,,,,,,,,
